"","Site_Transect","1","2","3"
"1","Ambavala_1",3,5,5
"2","Ambavala_2",0,3,2
"3","Ambavala_3",10,8,1
"4","Ambodihasina_1",3,2,2
"5","Ambodihasina_2",3,3,1
"6","Ambodihasina_3",5,1,3
"7","Ambodimandresy_1",0,2,2
"8","Ambodimandresy_2",3,0,2
"9","Ambodimandresy_3",5,3,0
"10","Ambodivoara_1",2,0,0
"11","Ambodivoara_2",1,4,5
"12","Ambodivoara_3",0,1,0
"13","Ambodivoara_4",0,0,0
"14","Ambodivoara_5",0,2,NA
"15","AmbodivohitraKobahina_1",1,2,3
"16","AmbodivohitraKobahina_2",4,5,5
"17","AmbodivohitraKobahina_3",3,4,4
"18","Androfiabe_1",1,1,0
"19","Androfiabe_2",0,0,0
"20","Androfiabe_3",0,0,0
"21","Antanambe_1",6,4,6
"22","Antanambe_2",6,5,5
"23","Antanambe_3",4,3,3
"24","Befamatra_1",11,7,8
"25","Befamatra_2",4,5,9
"26","Befamatra_3",2,5,2
"27","Betaolana_1",1,0,0
"28","Betaolana_2",0,0,0
"29","Betaolana_3",0,0,1
